"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"9",3.5,"Blue Cross and Blue Shield of Alabama","AL","PPO","Yes",4,2.5,2.5,"Commercial"
"10",2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO/EPO","Yes",2.5,1.5,2.5,"Commercial"
"11",2.5,"United Healthcare Services, Inc  (Alabama)","AL","PPO","Yes",2,2.5,2,"Commercial"
"12",2.5,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",2,2.5,2,"Commercial"
"13",NA,"Compass Rose Health Plan","AL","PPO","No",NA,NA,NA,"Commercial"
"91",4.5,"Aetna Life Insurance Company (Alabama)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AL","PPO","Yes",3.5,4,4,"Medicare"
"101",4,"Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AL","PPO","Yes",3.5,4,3.5,"Medicare"
"111",4,"UnitedHealthcare of the Midlands, Inc. (AL)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","AL","HMO","Yes",NA,4.5,3,"Medicare"
"121",3,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","AL","HMO/POS","No",2.5,3,3.5,"Medicare"
"131",3,"HealthSpring of Alabama, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0150","AL","HMO","No",3,3,3,"Medicare"
"14",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","AL","PPO","No",3,3,3,"Medicare"
"15",2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AL","PPO","No",2.5,2.5,3,"Medicare"
"16",NA,"UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AL","PPO","Yes",NA,2,3,"Medicare"
"17",NA,"Blue Cross and Blue Shield of Alabama
                                    
                                        
                                    

                                    
                                        CMS Contract: H0104","AL","PPO","No",NA,NA,NA,"Medicare"
"18",NA,"VIVA Health, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0154","AL","HMO","No",NA,NA,NA,"Medicare"
"1",NA,"[ No Data Submitted for Accounts ]","AL","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"92",3,"Aetna Life Insurance Company (Alaska)","AK","PPO/EPO","Yes",2.5,1.5,3,"Commercial"
"102",3,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2,2.5,"Commercial"
"112",NA,"Moda Health Plan, Inc. (Alaska)","AK","PPO","Yes",NA,NA,NA,"Commercial"
"122",NA,"UnitedHealthcare Military & Veterans Services, LLC","AK","POS","Yes",NA,NA,NA,"Commercial"
"132",NA,"Compass Rose Health Plan","AK","PPO","No",NA,NA,NA,"Commercial"
"93",4,"Sierra Health and Life Insurance Company, Inc. (AK)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AK","PPO","Yes",3.5,4,3.5,"Medicare"
"19",NA,"[ No Data Submitted for Accounts ]","AK","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"94",3.5,"United Healthcare Services, Inc. (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial"
"103",3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial"
"113",3.5,"UnitedHealthcare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Arizona","AZ","HMO","Yes",3.5,3,3.5,"Commercial"
"123",3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2.5,2,2.5,"Commercial"
"133",3,"Aetna Life Insurance Company (Arizona)","AZ","PPO/EPO","Yes",1.5,2.5,3,"Commercial"
"141",3,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",2,3,2.5,"Commercial"
"151",3,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2,3,3,"Commercial"
"161",3,"Connecticut General Life Insurance Company - Arizona","AZ","PPO","Yes",2,3,2.5,"Commercial"
"171",3,"Health Net of Arizona, Inc.","AZ","HMO","Yes",2.5,2.5,2.5,"Commercial"
"181",3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",1.5,2,3,"Commercial"
"191",NA,"UnitedHealthcare Military & Veterans Services, LLC","AZ","POS","Yes",NA,NA,NA,"Commercial"
"20",NA,"Compass Rose Health Plan","AZ","PPO","No",NA,NA,NA,"Commercial"
"95",4.5,"Aetna Life Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AZ","PPO","Yes",3.5,4,4,"Medicare"
"104",4,"Aetna Health Inc. (Pennsylvania) - Arizona
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","AZ","HMO","Yes",3,4,3.5,"Medicare"
"114",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","AZ","HMO","Yes",3.5,4,3.5,"Medicare"
"124",4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AZ","PPO","Yes",3.5,4,3.5,"Medicare"
"134",4,"UnitedHeatlhcare  of Wisconsin, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","AZ","HMO/POS","Yes",NA,3.5,3.5,"Medicare"
"142",3.5,"Cigna HealthCare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0354","AZ","HMO","No",4,4.5,3.5,"Medicare"
"152",3.5,"Humana Health Plan, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","AZ","HMO","Yes",3,3,3,"Medicare"
"162",3.5,"Humana Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H6609","AZ","PPO","Yes",3.5,3.5,3,"Medicare"
"172",3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H0302","AZ","HMO","No",3,3.5,3,"Medicare"
"182",3,"SCHN/ Mercy Care Planʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5580","AZ","HMO","No",2,2,3,"Medicare"
"192",3,"University of Arizona Health Plans - University Healthcare, Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H4931","AZ","HMO","No",NA,1.5,3,"Medicare"
"201",2.5,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operationsʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H0321","AZ","HMO","No",2,2.5,3,"Medicare"
"21",2.5,"Health Net of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0351","AZ","HMO","No",2,2.5,2.5,"Medicare"
"22",2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AZ","PPO","No",2.5,2.5,3,"Medicare"
"23",NA,"Fresenius Health Plans Insurance Companyʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H9312","AZ","PPO","No",NA,0,NA,"Medicare"
"24",NA,"UnitedHealthcare Insurance Company (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AZ","PPO","Yes",NA,2,3,"Medicare"
"25",NA,"CareMore HealthPlan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2593","AZ","HMO","No",NA,NA,NA,"Medicare"
"26",NA,"Health Choice Arizona, Inc. dba Health Choice Generationsʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5587","AZ","HMO","No",NA,NA,NA,"Medicare"
"96",NA,"SCHN/ Mercy Care Plan
                                    
                                        
                                    

                                    
                                        Special Project: CAHPS Sum Only","AZ","HMO","No",3.5,NA,NA,"Medicaid"
"105",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Acute Medicaid","AZ","HMO","No",NA,NA,NA,"Medicaid"
"115",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: Developmentally Disabled","AZ","HMO","No",NA,NA,NA,"Medicaid"
"125",NA,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations
                                    
                                        
                                    

                                    
                                        Special Project: LT Care","AZ","HMO","No",NA,NA,NA,"Medicaid"
"135",NA,"Phoenix Health Plan","AZ","HMO","No",NA,NA,NA,"Medicaid"
"97",3,"United Healthcare Services, Inc  (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"106",3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial"
"116",2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO/EPO","Yes",4,1.5,1.5,"Commercial"
"126",NA,"Compass Rose Health Plan","AR","PPO","No",NA,NA,NA,"Commercial"
"136",NA,"QualChoice Arkansas Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","AR","HMO/POS/PPO","No",NA,NA,NA,"Commercial"
"98",4,"Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AR","PPO","Yes",3.5,4,3.5,"Medicare"
"107",4,"UnitedHealthcare of the Midlands, Inc. - AR
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","AR","HMO","Yes",NA,4.5,3,"Medicare"
"117",3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","AR","PPO","No",4,3.5,3.5,"Medicare"
"127",3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","AR","HMO/POS","No",3.5,3.5,3.5,"Medicare"
"137",3,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4454","AR","HMO","No",3,4,3,"Medicare"
"143",3,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4407","AR","HMO","No",3,3.5,3,"Medicare"
"153",2.5,"Arkansas Blue Cross & Blue Shield
                                    
                                        
                                    

                                    
                                        CMS Contract: H8091","AR","PPO","No",3.5,3,2,"Medicare"
"163",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R3444","AR","PPO","No",2,2.5,2.5,"Medicare"
"173",2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H7787","AR","PPO","No",2.5,3,2.5,"Medicare"
"183",2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H2165","AR","HMO","No",2.5,3,2.5,"Medicare"
"193",2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H6972","AR","HMO","No",2.5,2,2.5,"Medicare"
"202",2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AR","PPO","No",2.5,2.5,3,"Medicare"
"211",NA,"Arkansas Blue Cross & Blue Shield
                                    
                                        
                                    

                                    
                                        CMS Contract: H9699","AR","HMO","No",NA,1,1.5,"Medicare"
"221",NA,"Harmony Health Plan of Illinois (Arkansas)","AR","HMO","Yes",NA,NA,NA,"Medicare"
"231",NA,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H8423","AR","HMO","No",NA,1.5,2.5,"Medicare"
