"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"9",3,"United Healthcare Services, Inc  (Alabama)","AL","PPO","Yes",2.5,2,2.5,"Commercial"
"10",3,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",2.5,2,2.5,"Commercial"
"11",2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO","Yes",3,1.5,2,"Commercial"
"12",NA,"Blue Cross and Blue Shield of Alabama","AL","PPO","Yes",NA,NA,NA,"Commercial"
"13",NA,"Compass Rose Health Plan","AL","PPO","No",NA,NA,NA,"Commercial"
"91",3.5,"Aetna Life Insurance Company (Alabama)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AL","PPO","No (Scheduled)",4,4,3.5,"Medicare"
"101",3,"HealthSpring of Alabama, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0150","AL","HMO","No",2.5,3.5,3,"Medicare"
"111",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","AL","PPO","No",3.5,3,3,"Medicare"
"121",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AL","PPO","No",3.5,2.5,3,"Medicare"
"131",3,"UnitedHealthcare of Alabama, Inc
                                    
                                        
                                    

                                    
                                        CMS Contract: H0151","AL","HMO","Yes",2.5,3,3,"Medicare"
"14",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","AL","HMO/POS","No",2.5,3,2.5,"Medicare"
"15",NA,"Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AL","PPO","Yes",NA,3.5,3,"Medicare"
"16",NA,"UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AL","PPO","Yes",NA,1.5,2.5,"Medicare"
"17",NA,"Blue Cross and Blue Shield of Alabama
                                    
                                        
                                    

                                    
                                        CMS Contract: H0104","AL","PPO","No",NA,NA,NA,"Medicare"
"18",NA,"VIVA Health, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0154","AL","HMO","No",NA,NA,NA,"Medicare"
"1",NA,"[ No Data Submitted for Accounts ]","AL","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"92",2.5,"Aetna Life Insurance Company (Alaska)","AK","PPO","Yes",2,1,2.5,"Commercial"
"102",2.5,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",3,1.5,2,"Commercial"
"112",NA,"Moda Health Plan, Inc. (Alaska)","AK","PPO","Yes",NA,NA,NA,"Commercial"
"122",NA,"Compass Rose Health Plan","AK","PPO","No",NA,NA,NA,"Commercial"
"93",NA,"Sierra Health and Life Insurance Company, Inc. (AK)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AK","PPO","Yes",NA,3.5,3,"Medicare"
"19",NA,"[ No Data Submitted for Accounts ]","AK","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"94",4,"UnitedHealthcare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Arizona","AZ","HMO","Yes",3.5,3,3.5,"Commercial"
"103",3.5,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",2.5,3.5,3,"Commercial"
"113",3.5,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"123",3.5,"Connecticut General Life Insurance Company - Arizona","AZ","PPO","Yes",2.5,3.5,3,"Commercial"
"132",3.5,"United Healthcare Services, Inc  (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial"
"141",3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2.5,3,3,"Commercial"
"151",3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2.5,2,2.5,"Commercial"
"161",3,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3,2,2.5,"Commercial"
