"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"9",3.5,"Blue Cross and Blue Shield of Alabama","AL","PPO","Yes",4.5,3.5,2.5,"Commercial"
"10",3,"Aetna Life Insurance Company (Alabama)","AL","PPO/EPO","Yes",3,2,2.5,"Commercial"
"11",3,"United Healthcare Services, Inc  (Alabama)","AL","PPO","Yes",3,2.5,2.5,"Commercial"
"12",3,"UnitedHealthcare Insurance Company (Alabama)","AL","PPO","Yes",3,2.5,2.5,"Commercial"
"13",1.5,"American Postal Workers Union Health Plan","AL","PPO","No",4,0.5,1.5,"Commercial"
"14",NA,"Compass Rose Health Plan","AL","PPO","No",NA,NA,NA,"Commercial"
"15",NA,"Government Employees Health Association, Inc.","AL","PPO","No",NA,NA,NA,"Commercial"
"16",NA,"National Association of Letter Carriers Health Benefit Plan","AL","PPO","No",NA,NA,NA,"Commercial"
"17",NA,"Special Agents Mutual Benefit Association","AL","PPO","No",NA,NA,NA,"Commercial"
"91",4,"Aetna Health Inc. - (Pennsylvania) Alabama
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","AL","HMO","Yes",3.5,3,3.5,"Medicare"
"101",4,"Aetna Life Insurance Company (Alabama)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AL","PPO","Yes",3.5,4,3.5,"Medicare"
"111",4,"Sierra Health and Life Insurance Company, Inc. (AL,MS,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AL","PPO","Yes",4,5,3.5,"Medicare"
"121",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","AL","PPO","No",3.5,4,3.5,"Medicare"
"131",3.5,"UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AL","PPO","Yes",3,3.5,3,"Medicare"
"141",3.5,"UnitedHealthcare of the Midlands, Inc. (AL)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","AL","HMO/POS","Yes",3.5,3.5,3,"Medicare"
"151",3,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","AL","HMO/POS","No",3.5,3.5,2.5,"Medicare"
"161",3,"HealthSpring of Alabama, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0150","AL","HMO","No",3,4,2.5,"Medicare"
"171",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","AL","PPO","No",4,3,3,"Medicare"
"18",NA,"Humana Insurance Company (Alabama)
                                    
                                        
                                    

                                    
                                        CMS Contract: R7315","AL","PPO","No",NA,1,2.5,"Medicare"
"19",NA,"UnitedHealthcare Insurance Company (CT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0710","AL","PPO","No",NA,1.5,3,"Medicare"
"20",NA,"Blue Cross and Blue Shield of Alabama
                                    
                                        
                                    

                                    
                                        CMS Contract: H0104","AL","PPO","No",NA,NA,NA,"Medicare"
"21",NA,"VIVA Health, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0154","AL","HMO","No",NA,NA,NA,"Medicare"
"1",NA,"[ No Data Submitted for Accounts ]","AL","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"92",3,"Aetna Life Insurance Company (Alaska)","AK","PPO/EPO","Yes",2,2.5,3,"Commercial"
"102",3,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2.5,2.5,"Commercial"
"112",1.5,"American Postal Workers Union Health Plan","AK","PPO","No",4,0.5,1.5,"Commercial"
"122",NA,"Moda Health Plan, Inc. (Alaska)","AK","PPO","Yes",NA,NA,NA,"Commercial"
"132",NA,"UnitedHealthcare Military & Veterans Services, LLC","AK","POS","Yes",NA,NA,NA,"Commercial"
"142",NA,"Compass Rose Health Plan","AK","PPO","No",NA,NA,NA,"Commercial"
"152",NA,"Government Employees Health Association, Inc.","AK","PPO","No",NA,NA,NA,"Commercial"
"162",NA,"National Association of Letter Carriers Health Benefit Plan","AK","PPO","No",NA,NA,NA,"Commercial"
"172",NA,"Special Agents Mutual Benefit Association","AK","PPO","No",NA,NA,NA,"Commercial"
"93",4,"Sierra Health and Life Insurance Company, Inc. (AK)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AK","PPO","Yes",4,5,3.5,"Medicare"
"103",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","AK","PPO","No",3.5,4,3.5,"Medicare"
"110",NA,"[ No Data Submitted for Accounts ]","AK","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"94",3.5,"Cigna Health and Life Insurance Company - Arizona","AZ","PPO","Yes",3,3,2.5,"Commercial"
"104",3.5,"Cigna HealthCare of Arizona, Inc.","AZ","HMO/POS","Yes",2.5,3.5,3,"Commercial"
"113",3.5,"Health Net of Arizona, Inc.","AZ","HMO","Yes",3,3,2.5,"Commercial"
"123",3.5,"United HealthCare Services, Inc. (Arizona)","AZ","PPO","Yes",2,3.5,3,"Commercial"
"133",3.5,"UnitedHealthcare Insurance Company (Arizona)","AZ","PPO","Yes",2,3.5,3,"Commercial"
"143",3.5,"UnitedHealthcare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Arizona","AZ","HMO","Yes",3.5,3.5,3,"Commercial"
"153",3,"Aetna Health Inc. (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",2,2,3,"Commercial"
"163",3,"Aetna Life Insurance Company (Arizona)","AZ","PPO/EPO","Yes",2.5,2,2.5,"Commercial"
"173",3,"Humana Health Plan, Inc. (Arizona)","AZ","HMO/POS","Yes",2,2.5,3,"Commercial"
"181",1.5,"American Postal Workers Union Health Plan","AZ","PPO","No",4,0.5,1.5,"Commercial"
"191",NA,"UnitedHealthcare Military & Veterans Services, LLC","AZ","POS","Yes",NA,NA,NA,"Commercial"
"201",NA,"Compass Rose Health Plan","AZ","PPO","No",NA,NA,NA,"Commercial"
"211",NA,"Government Employees Health Association, Inc.","AZ","PPO","No",NA,NA,NA,"Commercial"
"22",NA,"National Association of Letter Carriers Health Benefit Plan","AZ","PPO","No",NA,NA,NA,"Commercial"
"23",NA,"Special Agents Mutual Benefit Association","AZ","PPO","No",NA,NA,NA,"Commercial"
"95",4,"Aetna Health Inc. (Pennsylvania) - Arizona
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","AZ","HMO","Yes",3.5,3,3.5,"Medicare"
"105",4,"Aetna Life Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","AZ","PPO","Yes",3.5,4,3.5,"Medicare"
"114",4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","AZ","HMO","Yes",3,3.5,3.5,"Medicare"
"124",4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AZ","PPO","Yes",4,5,3.5,"Medicare"
"134",3.5,"Cigna HealthCare of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0354","AZ","HMO","No",3.5,4,3.5,"Medicare"
"144",3.5,"Humana Health Plan, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","AZ","HMO","Yes",2.5,3,3,"Medicare"
"154",3.5,"Humana Insurance Company (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5216","AZ","PPO","Yes",3.5,4,3,"Medicare"
"164",3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2406","AZ","PPO","No",3.5,4,3.5,"Medicare"
"174",3.5,"UnitedHealthcare Insurance Company (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","AZ","PPO","Yes",3,3.5,3,"Medicare"
"182",3.5,"UnitedHeatlhcare  of Wisconsin, Inc. (Arizona)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","AZ","HMO/POS","Yes",3.5,4,3,"Medicare"
"192",3,"Health Net of Arizona, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0351","AZ","HMO","No",2,2.5,3,"Medicare"
"202",3,"MediSun, dba Blue Cross Blue Shield of Arizona Advantage
                                    
                                        
                                    

                                    
                                        CMS Contract: H0302","AZ","HMO","No",3.5,3,3,"Medicare"
"212",2.5,"Arizona Physicians IPA, Inc. Medicaid Managed Care Operations †
                                    
                                        
                                    

                                    
                                        CMS Contract: H0321","AZ","HMO","No",2,2.5,2.5,"Medicare"
